,id,carat,cut,color,clarity,depth,table,x,y,z,cut_encoded,color_encoded,clarity_encoded
101,101,0.3,Ideal,D,VS2,61.3,56.0,4.32,4.36,2.66,4,5,3
102,102,0.35,Premium,F,VS2,61.9,58.0,4.54,4.48,2.79,1,4,3
103,103,1.5,Very Good,D,SI1,63.1,57.0,7.31,7.24,4.59,3,5,2
104,104,1.2,Very Good,F,IF,62.3,60.0,6.74,6.8,4.22,3,4,7
105,105,0.94,Premium,H,VS2,60.1,59.0,6.35,6.32,3.81,1,2,3
106,106,1.16,Premium,G,SI2,62.6,58.0,6.72,6.66,4.19,1,3,0
107,107,0.85,Ideal,E,SI2,60.1,56.0,6.17,6.18,3.71,4,6,0
108,108,0.32,Ideal,G,VVS2,62.0,54.0,4.39,4.42,2.73,4,3,5
109,109,0.34,Premium,G,SI1,60.8,59.0,4.56,4.46,2.74,1,3,2
110,110,0.57,Very Good,E,VS2,61.0,57.0,5.33,5.35,3.26,3,6,3
111,111,1.3,Very Good,F,SI2,61.1,58.0,6.98,7.02,4.28,3,4,0
112,112,2.01,Premium,I,VS2,60.5,60.0,8.17,8.15,4.94,1,1,3
113,113,0.32,Very Good,F,VS2,59.7,62.0,4.38,4.43,2.63,3,4,3
114,114,0.54,Ideal,G,VS1,62.0,56.0,5.21,5.24,3.24,4,3,4
115,115,0.31,Premium,E,SI1,62.7,58.0,4.32,4.35,2.72,1,6,2
116,116,1.24,Ideal,G,VS1,61.8,55.0,6.85,6.89,4.25,4,3,4
117,117,0.73,Premium,I,SI2,59.2,58.0,5.9,5.85,3.47,1,1,0
118,118,0.31,Premium,G,VVS1,60.5,60.0,4.4,4.33,2.64,1,3,6
119,119,0.93,Ideal,E,SI1,61.9,56.0,6.24,6.27,3.87,4,6,2
120,120,0.52,Very Good,E,VS2,61.5,58.0,5.18,5.24,3.2,3,6,3
121,121,0.3,Very Good,G,VS1,62.9,60.0,4.26,4.29,2.69,3,3,4
122,122,0.72,Premium,D,SI1,61.4,59.0,5.71,5.79,3.53,1,5,2
123,123,1.03,Premium,I,SI1,61.6,59.0,6.46,6.49,3.99,1,1,2
124,124,1.14,Premium,I,SI1,62.2,58.0,6.7,6.67,4.16,1,1,2
125,125,0.54,Ideal,F,VVS2,61.0,54.0,5.28,5.3,3.23,4,4,5
126,126,0.3,Ideal,G,SI1,62.2,57.0,4.26,4.29,2.66,4,3,2
127,127,1.39,Very Good,I,I1,62.6,57.0,7.1,7.15,4.46,3,1,1
128,128,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,2,6,3
129,129,1.06,Very Good,I,SI1,62.8,56.0,6.47,6.52,4.08,3,1,2
130,130,1.01,Very Good,F,SI2,62.7,59.0,6.35,6.4,4.0,3,4,0
131,131,0.3,Ideal,E,VVS1,62.6,54.0,4.28,4.31,2.69,4,6,6
132,132,0.72,Ideal,E,SI1,61.0,57.0,5.77,5.8,3.53,4,6,2
133,133,0.25,Very Good,E,VVS2,59.8,59.0,4.07,4.09,2.44,3,6,5
134,134,0.42,Good,H,SI1,63.6,57.0,4.79,4.74,3.03,2,2,2
135,135,1.51,Premium,G,VS1,62.6,60.0,7.19,7.28,4.53,1,3,4
136,136,0.7,Premium,D,VS2,59.6,61.0,5.8,5.77,3.45,1,5,3
137,137,0.51,Very Good,G,VVS1,60.1,56.0,5.16,5.35,3.16,3,3,6
138,138,0.71,Ideal,G,VVS1,62.1,56.0,5.72,5.84,3.59,4,3,6
139,139,0.51,Ideal,F,VS2,61.3,56.0,5.17,5.14,3.16,4,4,3
140,140,1.41,Fair,H,I1,64.7,58.0,7.05,7.0,4.55,0,2,1
141,141,0.6,Premium,E,SI1,61.9,58.0,5.39,5.43,3.35,1,6,2
142,142,1.25,Ideal,J,VVS2,61.1,57.0,6.91,6.94,4.23,4,0,5
143,143,0.38,Premium,E,VS1,60.2,58.0,4.71,4.66,2.82,1,6,4
144,144,0.33,Very Good,E,SI1,63.4,55.0,4.4,4.37,2.78,3,6,2
145,145,1.01,Good,E,VS2,63.3,58.0,6.35,6.38,4.03,2,6,3
146,146,2.01,Premium,I,VS2,62.8,58.0,8.01,7.94,5.01,1,1,3
147,147,0.53,Very Good,G,SI2,62.5,55.0,5.14,5.19,3.23,3,3,0
148,148,0.41,Ideal,E,VS2,62.3,56.0,4.74,4.77,2.96,4,6,3
149,149,0.51,Ideal,G,VVS2,60.1,56.0,5.22,5.19,3.13,4,3,5
150,150,0.3,Ideal,D,VS2,61.8,55.0,4.36,4.32,2.68,4,5,3
151,151,1.01,Good,F,VS2,63.9,58.0,6.39,6.32,4.06,2,4,3
152,152,0.71,Ideal,E,SI1,61.5,57.0,5.7,5.75,3.52,4,6,2
153,153,0.61,Very Good,F,VS2,62.9,58.0,5.33,5.39,3.37,3,4,3
154,154,0.71,Premium,G,SI2,58.2,60.0,5.91,5.88,3.43,1,3,0
155,155,0.7,Very Good,F,SI1,59.7,56.9,5.73,5.86,3.46,3,4,2
156,156,0.32,Very Good,H,SI2,63.1,56.0,4.37,4.34,2.75,3,2,0
157,157,1.51,Ideal,E,SI2,62.6,53.0,7.4,7.32,4.61,4,6,0
158,158,0.32,Ideal,H,SI1,61.2,56.0,4.43,4.46,2.72,4,2,2
159,159,0.33,Ideal,G,VVS1,61.9,55.0,4.45,4.5,2.77,4,3,6
160,160,0.98,Good,H,SI2,57.9,56.0,6.51,6.47,3.76,2,2,0
161,161,0.25,Good,D,VVS2,57.5,61.0,4.16,4.19,2.4,2,5,5
162,162,0.72,Ideal,I,VS2,61.8,56.0,5.72,5.77,3.56,4,1,3
163,163,0.32,Ideal,H,VVS2,61.9,55.0,4.37,4.39,2.71,4,2,5
164,164,0.51,Ideal,E,SI2,61.0,56.0,5.2,5.16,3.16,4,6,0
165,165,0.33,Ideal,F,VVS2,61.3,56.0,4.46,4.44,2.73,4,4,5
166,166,1.01,Good,E,SI2,63.9,58.0,6.31,6.37,4.05,2,6,0
167,167,0.77,Good,H,VVS2,64.3,57.9,5.7,5.86,3.71,2,2,5
168,168,0.31,Good,E,SI1,63.1,55.0,4.33,4.36,2.74,2,6,2
169,169,0.9,Premium,G,SI1,60.6,57.0,6.28,6.2,3.78,1,3,2
170,170,0.55,Ideal,G,VS1,61.0,56.0,5.34,5.32,3.25,4,3,4
171,171,1.12,Ideal,G,SI2,62.8,54.0,6.7,6.64,4.19,4,3,0
172,172,1.01,Premium,E,VS2,62.9,58.0,6.39,6.36,4.01,1,6,3
173,173,1.0,Very Good,G,SI1,59.3,63.0,6.44,6.48,3.83,3,3,2
174,174,1.06,Premium,F,SI1,62.1,58.0,6.5,6.52,4.04,1,4,2
175,175,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,4,3,7
176,176,0.24,Very Good,G,VVS1,61.7,56.0,3.98,4.02,2.46,3,3,6
177,177,0.31,Premium,H,VS2,62.5,60.0,4.36,4.31,2.71,1,2,3
178,178,0.56,Very Good,G,VVS2,62.1,55.6,5.29,5.31,3.29,3,3,5
179,179,0.5,Good,I,SI2,65.3,56.0,4.91,5.01,3.24,2,1,0
180,180,1.11,Very Good,H,SI1,62.0,56.0,6.61,6.65,4.11,3,2,2
181,181,0.32,Ideal,F,VVS1,61.7,56.0,4.37,4.42,2.71,4,4,6
182,182,0.62,Good,J,SI1,59.9,65.0,5.58,5.5,3.32,2,0,2
183,183,0.51,Premium,E,VS2,59.2,58.0,5.27,5.23,3.11,1,6,3
184,184,1.32,Ideal,J,VS1,62.5,57.0,7.0,7.04,4.39,4,0,4
185,185,0.52,Ideal,I,VS2,61.5,56.0,5.19,5.21,3.2,4,1,3
186,186,0.37,Premium,E,SI1,59.3,58.0,4.73,4.75,2.81,1,6,2
187,187,1.03,Premium,E,SI1,62.9,56.0,6.49,6.39,4.05,1,6,2
188,188,0.25,Very Good,D,VS1,63.0,59.0,3.97,4.0,2.51,3,5,4
189,189,0.31,Good,H,VS2,63.1,58.0,4.27,4.32,2.71,2,2,3
190,190,0.3,Ideal,H,SI1,62.2,57.0,4.26,4.29,2.66,4,2,2
191,191,1.0,Fair,F,VS2,64.9,52.0,6.24,6.33,4.08,0,4,3
192,192,0.71,Very Good,G,SI1,62.3,57.0,5.7,5.76,3.57,3,3,2
193,193,0.9,Very Good,I,SI2,62.5,58.0,6.1,6.15,3.83,3,1,0
194,194,2.21,Ideal,G,SI2,61.9,55.0,8.4,8.36,5.19,4,3,0
195,195,1.5,Very Good,J,VVS2,63.3,57.0,7.28,7.25,4.6,3,0,5
196,196,0.91,Ideal,I,VS1,62.1,57.0,6.2,6.23,3.86,4,1,4
197,197,0.23,Very Good,D,VVS2,62.5,58.0,3.92,3.95,2.46,3,5,5
198,198,0.53,Ideal,D,VS2,61.5,56.0,5.17,5.23,3.2,4,5,3
199,199,1.0,Very Good,E,SI1,60.9,59.0,6.38,6.43,3.9,3,6,2
200,200,1.01,Very Good,E,VS2,60.4,60.0,6.47,6.44,3.9,3,6,3
201,201,0.33,Ideal,G,VS1,62.1,54.0,4.42,4.47,2.76,4,3,4
202,202,0.31,Good,D,SI2,63.7,58.0,4.27,4.3,2.73,2,5,0
203,203,1.46,Very Good,I,SI1,62.5,57.0,7.15,7.19,4.48,3,1,2
204,204,1.07,Premium,H,SI2,62.2,59.0,6.47,6.53,4.04,1,2,0
205,205,0.42,Very Good,H,VS2,62.1,54.0,4.81,4.84,2.99,3,2,3
206,206,0.72,Very Good,D,VS1,62.7,58.0,5.65,5.68,3.55,3,5,4
207,207,0.3,Ideal,E,VS2,61.3,58.0,4.3,4.32,2.64,4,6,3
208,208,0.31,Premium,I,SI1,59.6,58.0,4.44,4.39,2.63,1,1,2
209,209,1.32,Very Good,F,IF,62.4,58.0,6.97,7.01,4.36,3,4,7
210,210,1.1,Very Good,H,VS2,63.1,57.0,6.6,6.52,4.14,3,2,3
211,211,1.53,Very Good,H,VS2,60.9,63.0,7.37,7.41,4.5,3,2,3
212,212,1.0,Premium,I,VS1,60.1,62.0,6.5,6.47,3.9,1,1,4
213,213,0.4,Good,E,SI1,63.9,58.0,4.67,4.63,2.97,2,6,2
214,214,0.9,Very Good,G,SI2,63.2,58.0,6.05,6.1,3.84,3,3,0
215,215,0.5,Very Good,D,SI2,63.1,56.0,5.05,4.96,3.16,3,5,0
216,216,0.35,Ideal,H,IF,60.9,57.0,4.58,4.6,2.8,4,2,7
217,217,0.52,Ideal,F,VVS2,61.8,56.0,5.2,5.17,3.2,4,4,5
218,218,0.7,Good,J,SI2,61.2,64.0,5.68,5.73,3.49,2,0,0
219,219,0.27,Very Good,F,VVS2,62.5,59.0,4.11,4.15,2.58,3,4,5
220,220,0.32,Premium,G,VS2,62.6,60.0,4.36,4.33,2.72,1,3,3
221,221,0.5,Ideal,H,VS1,61.4,54.0,5.13,5.16,3.16,4,2,4
222,222,0.72,Ideal,D,VS1,62.3,54.0,5.74,5.79,3.59,4,5,4
223,223,0.51,Good,G,VVS2,63.7,54.0,5.1,5.08,3.24,2,3,5
224,224,0.34,Ideal,E,SI2,62.4,54.0,4.49,4.52,2.81,4,6,0
225,225,1.03,Ideal,G,VVS2,60.7,57.0,6.5,6.58,3.97,4,3,5
226,226,0.33,Ideal,H,VS1,61.7,54.0,4.45,4.47,2.75,4,2,4
227,227,0.7,Ideal,G,VS2,61.9,56.0,5.68,5.7,3.52,4,3,3
228,228,0.31,Very Good,I,VS2,60.8,60.0,4.37,4.42,2.67,3,1,3
229,229,2.06,Premium,G,SI1,59.3,61.0,8.44,8.36,4.98,1,3,2
230,230,1.2,Premium,J,SI2,61.8,56.0,6.85,6.81,4.22,1,0,0
231,231,1.01,Good,G,VS1,57.7,63.0,6.55,6.65,3.81,2,3,4
232,232,0.32,Ideal,E,VS1,59.5,57.0,4.45,4.49,2.66,4,6,4
233,233,1.5,Very Good,I,SI2,60.8,58.0,7.24,7.34,4.43,3,1,0
234,234,1.11,Premium,H,SI1,61.1,60.0,6.68,6.62,4.06,1,2,2
235,235,1.2,Premium,G,SI1,62.2,58.0,6.8,6.7,4.2,1,3,2
236,236,0.24,Very Good,F,VVS1,62.2,57.0,3.97,4.0,2.48,3,4,6
237,237,1.54,Premium,E,VS2,60.8,58.0,7.44,7.39,4.51,1,6,3
238,238,1.55,Premium,H,VS2,61.3,61.0,7.46,7.39,4.55,1,2,3
239,239,2.06,Premium,G,SI2,60.7,58.0,8.18,8.25,4.99,1,3,0
240,240,0.32,Ideal,F,VS2,62.8,57.0,4.36,4.33,2.73,4,4,3
241,241,0.52,Ideal,H,SI2,61.5,56.0,5.17,5.21,3.19,4,2,0
242,242,0.54,Ideal,F,SI2,61.2,56.0,5.27,5.28,3.23,4,4,0
243,243,0.71,Good,E,SI1,63.1,59.0,5.62,5.75,3.59,2,6,2
244,244,1.52,Ideal,I,VS2,62.4,55.0,7.35,7.4,4.6,4,1,3
245,245,0.3,Very Good,E,VS2,61.9,61.0,4.28,4.32,2.66,3,6,3
246,246,0.91,Ideal,E,SI2,61.8,56.0,6.19,6.27,3.85,4,6,0
247,247,1.0,Ideal,F,SI2,61.0,55.0,6.45,6.41,3.92,4,4,0
248,248,0.93,Fair,G,SI1,64.4,57.0,6.14,6.09,3.94,0,3,2
249,249,0.31,Ideal,G,VVS2,61.8,56.0,4.36,4.31,2.68,4,3,5
250,250,0.32,Ideal,E,VS1,61.6,55.0,4.43,4.46,2.74,4,6,4
251,251,0.7,Very Good,E,SI1,62.1,60.0,5.62,5.66,3.5,3,6,2
252,252,0.25,Very Good,E,VVS1,62.9,58.0,4.01,4.03,2.53,3,6,6
253,253,1.68,Ideal,H,VS2,61.3,56.0,7.77,7.67,4.73,4,2,3
254,254,1.5,Good,G,SI1,60.2,61.0,7.27,7.32,4.39,2,3,2
255,255,1.2,Very Good,G,SI1,63.2,59.0,6.77,6.74,4.27,3,3,2
256,256,0.3,Very Good,E,VVS1,62.6,56.0,4.26,4.27,2.67,3,6,6
257,257,0.23,Good,D,VVS1,60.3,66.0,3.91,3.95,2.37,2,5,6
258,258,1.75,Premium,E,SI1,60.3,61.0,7.82,7.74,4.69,1,6,2
259,259,0.73,Premium,I,SI2,62.0,57.0,5.79,5.76,3.58,1,1,0
260,260,0.26,Ideal,H,VS2,62.1,55.0,4.08,4.1,2.54,4,2,3
261,261,1.17,Ideal,F,SI1,62.2,56.0,6.73,6.71,4.18,4,4,2
262,262,0.23,Very Good,H,VVS2,62.4,55.0,3.91,3.94,2.45,3,2,5
263,263,0.42,Ideal,D,VVS2,61.4,56.0,4.85,4.82,2.97,4,5,5
264,264,1.01,Very Good,G,SI1,59.6,61.0,6.47,6.52,3.87,3,3,2
265,265,1.01,Ideal,E,VVS1,62.0,57.0,6.39,6.45,3.98,4,6,6
266,266,0.34,Premium,G,VVS1,61.5,59.0,4.5,4.47,2.76,1,3,6
267,267,1.26,Very Good,I,VS1,61.8,61.0,6.9,6.95,4.28,3,1,4
268,268,0.39,Premium,F,VS1,61.7,58.0,4.69,4.71,2.9,1,4,4
269,269,1.58,Premium,D,SI2,59.6,59.0,7.67,7.61,4.55,1,5,0
270,270,1.01,Very Good,F,VS1,62.5,60.0,6.36,6.41,3.99,3,4,4
271,271,1.24,Very Good,E,SI1,61.7,59.0,6.85,6.89,4.24,3,6,2
272,272,0.51,Ideal,E,VS2,60.1,57.0,5.23,5.19,3.13,4,6,3
273,273,0.4,Ideal,D,VS1,60.6,56.0,4.78,4.82,2.91,4,5,4
274,274,0.5,Premium,G,VS1,62.1,55.0,5.22,5.06,3.19,1,3,4
275,275,0.31,Ideal,E,VS2,60.9,57.0,4.34,4.36,2.65,4,6,3
276,276,0.56,Ideal,H,SI1,61.8,55.0,5.31,5.34,3.29,4,2,2
277,277,2.0,Premium,I,SI2,60.0,58.0,8.23,8.17,4.92,1,1,0
278,278,1.23,Very Good,F,SI2,61.9,58.0,6.77,6.79,4.2,3,4,0
279,279,1.01,Ideal,F,IF,62.0,58.0,6.41,6.46,3.99,4,4,7
280,280,0.53,Very Good,H,VVS2,61.3,61.0,5.15,5.2,3.17,3,2,5
281,281,0.32,Ideal,E,VS1,61.0,57.0,4.4,4.42,2.69,4,6,4
282,282,0.51,Ideal,E,VS2,60.4,57.0,5.15,5.18,3.12,4,6,3
283,283,0.42,Ideal,D,VVS2,62.1,55.0,4.78,4.81,2.98,4,5,5
284,284,0.32,Ideal,D,SI1,61.5,56.0,4.41,4.44,2.72,4,5,2
285,285,0.31,Ideal,D,VVS2,62.0,56.0,4.37,4.34,2.7,4,5,5
286,286,0.32,Very Good,G,VVS2,62.2,57.0,4.36,4.38,2.72,3,3,5
287,287,0.44,Premium,G,SI1,61.9,59.0,4.82,4.87,3.0,1,3,2
288,288,0.3,Very Good,H,VVS2,61.5,57.0,4.32,4.36,2.66,3,2,5
289,289,0.76,Ideal,H,VS2,62.0,56.0,5.86,5.88,3.64,4,2,3
290,290,0.3,Ideal,E,VVS1,61.4,56.0,4.37,4.33,2.67,4,6,6
291,291,0.5,Very Good,G,VVS2,60.7,57.0,5.1,5.14,3.11,3,3,5
292,292,2.02,Ideal,I,SI2,62.2,57.0,8.06,7.99,4.99,4,1,0
293,293,0.31,Ideal,G,VS1,61.0,55.0,4.39,4.43,2.69,4,3,4
294,294,0.42,Premium,D,SI2,60.0,61.0,4.89,4.85,2.92,1,5,0
295,295,1.1,Ideal,H,SI1,62.0,57.0,6.66,6.7,4.14,4,2,2
296,296,0.41,Ideal,F,SI1,62.9,56.0,4.73,4.71,2.97,4,4,2
297,297,1.02,Very Good,D,SI1,62.7,57.0,6.42,6.5,4.05,3,5,2
298,298,1.04,Premium,E,SI2,61.0,60.0,6.57,6.52,3.99,1,6,0
299,299,0.52,Ideal,G,SI1,62.2,54.0,5.16,5.19,3.22,4,3,2
300,300,1.07,Ideal,G,VS1,61.8,55.0,6.55,6.59,4.06,4,3,4
301,301,0.4,Ideal,E,VVS1,62.6,56.0,4.7,4.73,2.95,4,6,6
302,302,0.38,Very Good,E,VVS2,59.7,63.0,4.71,4.73,2.82,3,6,5
303,303,1.03,Ideal,F,VS1,62.1,55.0,6.47,6.5,4.03,4,4,4
304,304,0.3,Very Good,G,SI1,62.4,54.0,4.33,4.35,2.71,3,3,2
305,305,0.31,Premium,D,VS2,62.6,59.0,4.33,4.3,2.7,1,5,3
306,306,0.51,Premium,E,VS2,61.3,58.0,5.15,5.13,3.15,1,6,3
307,307,2.01,Ideal,H,SI2,62.3,57.0,8.1,8.04,5.03,4,2,0
308,308,1.21,Very Good,F,VS1,61.1,61.0,6.79,6.87,4.17,3,4,4
309,309,1.23,Ideal,G,VS2,62.4,57.0,6.88,6.83,4.28,4,3,3
310,310,1.01,Premium,H,SI1,61.2,58.0,6.43,6.47,3.95,1,2,2
