,id,carat,depth,table,x,price,cut_encoded,color_encoded,clarity_encoded
242,242,0.51,62.7,56.0,5.14,7.472,4,6,4
243,243,1.51,62.2,57.0,7.33,9.354,4,2,3
244,244,2.03,61.3,59.0,8.08,9.812,3,3,2
245,245,1.02,62.0,56.0,6.44,8.463,4,1,2
246,246,1.04,61.8,59.0,6.49,8.531,3,3,2
247,247,0.37,61.5,56.0,4.59,6.836,4,4,6
248,248,0.43,61.9,55.0,4.84,6.849,4,3,4
249,249,0.3,61.8,57.0,4.31,6.745,4,3,5
250,250,0.5,59.6,60.0,5.15,6.866,2,0,2
251,251,1.56,61.7,59.0,7.51,9.089,1,3,0
252,252,0.71,62.1,57.0,5.67,8.009,3,6,4
253,253,1.25,61.6,54.0,6.94,8.497,4,2,0
254,254,0.38,61.3,54.0,4.68,6.234,4,2,0
255,255,0.94,62.2,59.0,6.27,8.35,1,4,0
256,256,0.35,61.4,55.0,4.55,6.56,4,4,3
257,257,0.3,58.7,63.0,4.37,6.223,3,2,2
258,258,0.41,61.8,57.0,4.75,6.76,4,4,3
259,259,0.31,62.0,55.0,4.34,6.671,4,3,6
260,260,0.32,59.3,58.0,4.47,6.985,1,4,7
261,261,0.36,60.9,59.0,4.62,6.592,1,2,3
262,262,1.54,63.1,57.0,7.34,9.284,2,2,4
263,263,0.41,62.1,58.0,4.73,6.526,1,6,0
264,264,2.01,60.9,55.0,8.16,9.776,4,3,0
265,265,0.66,61.6,58.1,5.54,7.59,3,2,4
266,266,1.02,65.5,57.0,6.19,8.243,0,1,0
267,267,0.52,61.2,57.0,5.17,7.501,4,2,6
268,268,1.01,62.4,59.0,6.32,8.9,2,3,5
269,269,1.59,61.0,58.0,7.58,9.086,1,2,2
270,270,0.6,62.0,57.0,5.41,7.761,4,3,5
271,271,0.26,61.8,55.0,4.09,6.114,4,6,4
272,272,0.42,62.0,55.0,4.83,6.65,4,1,4
273,273,0.8,61.6,56.0,5.94,7.707,3,0,2
274,274,2.01,66.6,54.0,7.76,9.575,0,0,4
275,275,1.76,60.9,60.0,7.79,9.111,3,0,0
276,276,1.63,57.7,60.0,7.71,9.297,2,4,2
277,277,1.24,60.1,57.0,7.02,8.473,4,0,0
278,278,0.58,61.5,55.0,5.38,7.151,4,3,0
279,279,0.74,61.3,57.0,5.81,8.049,4,3,2
280,280,0.36,61.4,57.0,4.59,6.375,4,2,3
281,281,0.3,62.9,57.0,4.29,6.405,3,4,3
282,282,0.71,63.1,58.0,5.65,7.828,3,6,2
283,283,1.34,60.7,59.0,7.07,9.137,1,3,3
284,284,1.01,61.5,58.0,6.4,8.448,1,6,0
285,285,0.41,62.7,56.0,4.76,6.967,4,3,3
286,286,0.9,62.8,59.0,6.12,8.404,3,5,2
287,287,0.31,60.8,56.0,4.41,6.649,4,3,6
288,288,0.37,60.2,60.0,4.7,6.436,1,4,0
289,289,2.01,62.3,57.0,8.05,9.442,4,0,2
290,290,0.71,61.2,59.0,5.74,7.946,1,5,3
291,291,1.52,64.6,55.0,7.24,8.914,0,2,2
292,292,2.22,59.2,59.0,8.54,9.514,1,4,0
293,293,0.47,61.1,61.0,4.97,6.929,3,4,2
294,294,1.0,66.3,62.0,6.27,8.328,0,6,2
295,295,2.25,61.9,59.0,8.42,9.316,1,1,0
296,296,0.55,60.9,57.0,5.24,7.003,4,0,2
297,297,0.38,62.3,53.6,4.65,6.834,4,3,5
298,298,1.51,64.2,54.0,7.18,9.362,2,3,3
299,299,1.21,60.5,58.0,6.95,8.747,4,1,4
300,300,1.0,63.4,59.0,6.27,9.031,2,6,6
301,301,0.33,60.4,59.0,4.47,6.611,1,6,2
302,302,1.39,61.3,59.0,7.15,8.968,1,3,2
303,303,1.5,62.0,63.0,7.28,8.894,3,2,0
304,304,0.53,61.5,57.0,5.21,7.491,4,3,4
305,305,0.3,62.3,58.0,4.32,6.515,1,6,2
306,306,0.3,61.0,60.0,4.3,6.265,1,1,5
307,307,0.51,61.8,55.0,5.15,7.638,4,6,4
308,308,0.6,61.2,56.0,5.45,7.691,4,6,3
309,309,0.5,61.0,58.0,5.14,6.865,1,2,0
310,310,0.61,62.1,56.0,5.42,7.681,4,3,4
311,311,0.46,62.5,56.0,4.93,6.926,4,0,6
312,312,2.01,62.2,58.0,7.99,9.725,2,2,2
313,313,1.07,61.5,57.0,6.57,8.657,4,1,2
314,314,1.01,63.4,57.0,6.39,8.186,3,2,0
315,315,0.41,61.0,57.0,4.82,6.729,4,3,0
316,316,0.45,60.8,60.0,4.94,7.156,1,6,4
317,317,0.42,62.5,57.0,4.77,6.784,4,1,6
318,318,0.92,61.8,57.0,6.27,8.109,4,1,2
319,319,1.01,63.9,59.0,6.34,8.849,2,6,3
320,320,0.23,60.4,59.0,3.95,6.273,3,5,5
321,321,0.54,62.8,57.0,5.25,7.391,4,4,3
322,322,0.55,60.4,56.0,5.36,7.783,3,6,5
323,323,0.4,62.4,57.0,4.72,7.242,4,6,6
324,324,0.78,63.1,56.0,5.84,7.761,3,2,0
325,325,0.9,62.6,56.0,6.13,8.122,3,4,0
326,326,0.52,63.5,57.0,5.13,7.511,3,5,3
327,327,0.7,63.1,58.0,5.6,7.909,2,4,5
328,328,0.9,63.5,59.0,6.1,8.368,2,2,4
329,329,0.9,62.1,61.0,6.07,8.145,2,2,2
330,330,1.51,62.2,61.0,7.25,9.089,2,2,2
331,331,1.0,63.6,58.0,6.31,8.505,2,4,2
332,332,1.08,61.8,55.0,6.57,8.844,4,3,3
333,333,1.72,63.2,61.0,7.57,9.51,2,4,2
334,334,0.38,60.6,56.0,4.73,6.718,4,4,0
335,335,0.9,63.8,55.0,6.09,8.368,2,4,3
336,336,0.36,61.0,55.0,4.62,6.368,3,2,3
337,337,0.91,62.0,56.0,6.2,8.443,4,4,0
338,338,0.37,62.1,60.0,4.61,6.562,1,3,2
339,339,0.9,61.1,54.0,6.29,8.148,1,4,0
340,340,0.5,60.4,56.0,5.15,7.545,4,6,3
341,341,1.51,62.3,55.0,7.35,9.599,4,3,5
342,342,0.32,61.2,55.0,4.41,6.26,4,2,3
343,343,0.51,63.3,56.0,5.02,7.039,3,1,3
344,344,0.41,62.7,56.0,4.77,6.967,4,3,3
345,345,0.9,64.2,54.0,6.08,8.146,3,6,0
346,346,2.01,62.1,55.0,8.12,9.421,4,1,0
347,347,0.32,61.9,55.0,4.38,6.842,4,2,6
348,348,2.0,64.1,55.0,7.94,9.792,2,3,3
349,349,0.91,62.8,57.0,6.17,8.349,1,5,2
350,350,0.71,58.1,58.0,5.92,8.116,1,4,6
351,351,1.53,62.5,57.0,7.38,9.352,4,4,2
352,352,1.19,60.8,59.0,6.87,8.648,1,2,2
353,353,0.62,55.1,66.0,5.85,7.403,0,4,2
354,354,1.2,62.9,57.0,6.73,8.559,3,1,2
355,355,0.7,61.6,56.0,5.7,8.111,4,6,2
356,356,0.39,62.7,58.0,4.65,6.75,3,3,6
357,357,0.33,61.9,55.0,4.42,6.766,4,2,7
358,358,0.53,62.2,54.0,5.19,7.729,4,6,5
359,359,0.34,61.0,59.0,4.48,6.613,1,6,3
360,360,1.02,60.9,59.0,6.56,9.08,1,4,5
361,361,0.5,67.1,57.0,4.92,6.441,0,4,1
362,362,0.55,60.5,56.0,5.36,7.575,4,3,5
363,363,0.3,62.3,55.0,4.3,6.76,4,3,7
364,364,0.31,61.2,56.0,4.38,6.953,4,3,6
365,365,0.77,63.4,57.0,5.8,8.099,2,6,3
366,366,0.55,64.3,57.9,5.16,7.244,2,4,2
367,367,0.9,65.8,58.0,5.99,8.451,2,5,3
368,368,0.3,58.8,61.0,4.43,6.41,1,1,4
369,369,1.26,61.8,58.0,6.91,8.533,1,0,2
370,370,0.8,62.1,56.0,5.93,8.305,4,4,3
371,371,0.73,62.7,58.0,5.76,7.902,1,6,2
372,372,0.27,62.5,55.0,4.12,6.223,3,2,5
373,373,0.5,61.9,61.0,5.09,7.27,3,5,2
374,374,1.0,63.1,63.0,6.33,8.22,3,3,0
375,375,0.9,67.0,56.0,5.91,8.031,0,1,5
376,376,0.52,62.0,56.0,5.14,7.377,4,2,4
377,377,0.75,60.4,56.0,5.9,8.247,3,6,3
378,378,0.71,61.9,63.0,5.74,7.773,3,6,0
379,379,0.4,63.1,57.0,4.73,6.829,3,5,2
380,380,1.56,62.0,56.0,7.39,9.257,4,1,5
381,381,0.29,62.3,58.0,4.22,6.498,3,4,6
382,382,0.9,63.0,56.0,6.13,8.658,3,5,4
383,383,1.03,59.0,55.0,6.67,8.956,4,4,4
384,384,1.07,60.2,55.0,6.64,8.7,3,5,2
385,385,0.28,59.6,59.0,4.3,6.465,3,6,6
386,386,0.59,62.6,54.0,5.32,7.417,4,3,3
387,387,0.9,62.7,57.0,6.1,8.292,4,5,0
388,388,0.43,60.2,55.0,4.92,7.107,3,2,6
389,389,2.0,63.3,59.0,8.03,9.785,3,2,2
390,390,1.01,62.9,58.0,6.38,8.078,1,2,2
391,391,1.33,62.0,55.0,7.12,9.263,4,3,4
392,392,0.31,62.0,56.0,4.39,6.528,4,5,2
393,393,0.41,62.3,56.0,4.78,7.125,4,6,5
394,394,1.51,63.0,59.0,7.3,9.16,1,1,4
395,395,0.3,61.7,58.0,4.32,6.41,1,1,4
396,396,0.4,63.4,58.0,4.61,6.447,2,0,4
397,397,1.04,64.9,58.0,6.36,8.636,0,3,4
398,398,2.33,59.9,59.0,8.7,9.596,1,0,2
399,399,0.35,60.9,57.0,4.51,6.72,4,5,3
400,400,1.26,60.1,59.0,7.0,8.547,1,1,0
401,401,0.4,61.7,59.0,4.76,6.957,1,5,3
402,402,0.71,63.7,56.0,5.68,7.733,2,1,5
403,403,0.71,62.7,60.0,5.73,8.237,1,6,6
404,404,1.12,61.4,57.0,6.69,9.173,4,4,5
405,405,1.74,61.1,56.0,7.85,9.323,4,0,4
406,406,0.73,62.0,57.0,5.86,7.956,1,6,3
407,407,0.71,61.4,55.0,5.76,7.834,4,4,0
408,408,0.4,61.1,56.0,4.75,6.816,4,6,3
409,409,0.41,60.0,61.0,4.77,6.526,3,2,2
410,410,0.38,59.2,58.0,4.8,7.136,1,4,6
411,411,1.33,63.7,56.0,6.92,8.848,2,1,4
412,412,0.4,61.8,53.0,4.75,6.965,4,3,6
413,413,0.7,62.9,58.0,5.65,7.829,3,1,6
414,414,0.37,60.5,56.0,4.66,6.831,4,3,7
415,415,0.59,62.2,60.0,5.37,7.661,1,4,2
416,416,0.54,62.3,58.0,5.26,7.434,1,4,2
417,417,0.7,63.1,58.0,5.69,7.742,3,3,3
418,418,0.91,59.2,60.0,6.3,8.294,3,2,2
419,419,0.31,63.6,55.0,4.29,6.492,2,4,5
420,420,0.33,61.4,60.0,4.39,6.766,3,3,6
421,421,0.34,62.4,56.0,4.45,6.129,4,1,2
422,422,1.1,60.5,56.0,6.76,9.129,4,3,5
423,423,0.5,60.0,63.0,5.06,7.088,3,3,2
424,424,0.31,59.9,59.0,4.38,6.299,1,3,3
425,425,0.27,63.2,55.0,4.1,6.153,3,5,4
426,426,0.31,62.3,58.0,4.38,6.286,1,1,2
427,427,0.5,62.8,61.0,4.94,7.277,2,4,3
428,428,1.26,59.1,59.0,7.09,8.683,1,3,0
429,429,1.41,63.8,60.0,7.12,9.133,2,2,3
430,430,0.58,61.2,57.0,5.36,7.59,4,4,4
431,431,0.53,61.4,58.0,5.19,7.356,1,5,2
432,432,0.72,63.4,56.0,5.67,7.553,3,1,0
433,433,0.32,62.2,57.0,4.36,5.974,4,0,3
434,434,0.3,62.6,58.0,4.22,6.159,3,2,3
435,435,1.31,61.9,56.0,7.03,9.22,4,3,4
436,436,0.53,62.6,56.0,5.28,6.982,4,2,2
437,437,0.34,59.7,59.0,4.54,6.477,1,3,2
438,438,1.0,60.1,60.0,6.45,8.677,3,6,2
439,439,0.53,60.8,57.0,5.23,7.114,4,6,0
440,440,0.5,60.8,56.0,5.17,7.277,4,2,3
441,441,1.43,62.6,59.0,7.19,9.538,1,5,3
442,442,0.52,63.0,56.0,5.18,6.768,1,4,1
443,443,0.3,62.5,57.0,4.27,5.945,3,1,2
444,444,0.41,64.1,57.0,4.72,6.592,2,2,3
445,445,0.7,58.0,62.0,5.78,7.919,2,5,3
446,446,0.93,59.5,60.0,6.39,8.194,1,4,0
447,447,0.52,62.3,56.0,5.12,7.241,4,0,2
448,448,0.9,63.6,55.0,6.15,8.458,2,4,2
449,449,1.0,64.9,56.0,6.2,7.782,0,3,1
450,450,1.09,62.0,54.0,6.64,8.38,4,0,3
451,451,0.5,59.1,59.0,5.19,7.44,3,5,3
452,452,0.36,61.8,58.0,4.55,6.748,1,5,3
453,453,0.56,60.4,58.0,5.32,7.236,1,5,0
454,454,0.43,59.7,59.0,4.93,6.87,1,5,3
455,455,0.4,61.6,56.0,4.72,6.417,4,0,2
456,456,1.3,64.0,58.0,6.91,8.564,2,0,2
457,457,0.41,61.7,58.0,4.76,6.926,3,5,4
458,458,0.33,63.6,57.0,4.39,6.098,2,1,2
459,459,0.7,61.6,56.0,5.7,8.146,4,3,3
460,460,0.3,61.6,58.0,4.29,6.405,1,4,3
461,461,0.3,62.8,59.0,4.28,6.815,1,5,3
462,462,1.73,61.0,56.0,7.72,9.508,4,1,3
463,463,0.28,62.1,55.0,4.22,6.194,4,3,4
